# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, N(k,omega)

0.415 3.25 0.000234618
0.415 3.3 0.000287531
0.415 3.35 0.000370385
0.415 3.4 0.000622705
0.415 3.45 0.000461588
0.415 3.5 0.000453141
0.415 3.55 0.001161
0.415 3.6 0.000448732
0.415 3.65 6.5446e-05
0.415 3.7 0.000238893
0.415 3.75 0.000992947
0.415 3.8 8.45455e-05
0.415 3.85 0.000228222
0.415 3.9 5.39061e-05
0.415 3.95 0.000137577
0.415 4 5.41479e-05
0.415 4.05 2.06996e-05
0.415 4.1 9.37852e-05
0.415 4.15 7.53991e-05
0.415 4.2 6.40921e-05
0.415 4.25 7.58116e-05
0.415 4.3 6.67821e-05
0.415 4.35 7.00623e-05
0.415 4.4 7.18842e-05
0.415 4.45 5.689e-05
0.415 4.5 5.6025e-05
0.415 4.55 6.07472e-05
0.415 4.6 4.90566e-05
0.415 4.65 4.82381e-05
0.415 4.7 4.79195e-05
0.415 4.75 5.61207e-05
0.415 4.8 3.8049e-05
0.415 4.85 4.08788e-05
0.415 4.9 3.86283e-05
0.415 4.95 5.14475e-05
0.415 5 4.53194e-05
0.42 0 0.000108628
0.42 0.05 0.000113178
0.42 0.1 0.000117977
0.42 0.15 0.000125364
0.42 0.2 0.000134533
0.42 0.25 0.000146146
0.42 0.3 0.000159494
0.42 0.35 0.000175427
0.42 0.4 0.000194682
0.42 0.45 0.000213591
0.42 0.5 0.000245018
0.42 0.55 0.000278314
0.42 0.6 0.000324384
0.42 0.65 0.000378806
0.42 0.7 0.000466903
0.42 0.75 0.000589652
0.42 0.8 0.000790108
0.42 0.85 0.00109887
0.42 0.9 0.00158021
0.42 0.95 0.00206467
0.42 1 0.00239836
0.42 1.05 0.00266089
0.42 1.1 0.00281317
0.42 1.15 0.00289682
0.42 1.2 0.00306562
0.42 1.25 0.00310708
0.42 1.3 0.00313158
0.42 1.35 0.00324829
0.42 1.4 0.00324667
0.42 1.45 0.003434
0.42 1.5 0.00338314
0.42 1.55 0.00357975
0.42 1.6 0.00361
0.42 1.65 0.00378405
0.42 1.7 0.00377701
0.42 1.75 0.00402581
0.42 1.8 0.00422868
0.42 1.85 0.0044426
0.42 1.9 0.00448034
0.42 1.95 0.00465302
0.42 2 0.0051896
0.42 2.05 0.00499955
0.42 2.1 0.00572461
0.42 2.15 0.00604795
0.42 2.2 0.00677657
0.42 2.25 0.00700895
0.42 2.3 0.00812774
0.42 2.35 0.00949352
0.42 2.4 0.0103711
0.42 2.45 0.00984969
0.42 2.5 0.00680018
0.42 2.55 0.00437251
0.42 2.6 0.00237172
0.42 2.65 0.00230003
0.42 2.7 0.00145806
0.42 2.75 0.000953114
0.42 2.8 0.000932943
0.42 2.85 4.49387e-05
0.42 2.9 0.000486246
0.42 2.95 0.000418204
0.42 3 0.000175754
0.42 3.05 0.00121108
0.42 3.1 0.000636018
0.42 3.15 0.000140911
0.42 3.2 0.000556738
0.42 3.25 0.000211028
0.42 3.3 0.00025826
0.42 3.35 0.000329934
0.42 3.4 0.000674302
0.42 3.45 0.000475054
0.42 3.5 0.00050065
0.42 3.55 0.00123473
0.42 3.6 0.000421712
0.42 3.65 1.21867e-05
0.42 3.7 0.000298655
0.42 3.75 0.00105366
0.42 3.8 8.95335e-05
0.42 3.85 0.000221124
0.42 3.9 3.06182e-05
0.42 3.95 0.000133414
0.42 4 5.28269e-05
0.42 4.05 2.21147e-05
0.42 4.1 9.46146e-05
0.42 4.15 7.44583e-05
0.42 4.2 6.72295e-05
0.42 4.25 7.5762e-05
0.42 4.3 6.79617e-05
0.42 4.35 7.26305e-05
0.42 4.4 6.89351e-05
0.42 4.45 5.95653e-05
0.42 4.5 6.09293e-05
0.42 4.55 6.23197e-05
0.42 4.6 5.37359e-05
0.42 4.65 5.65908e-05
0.42 4.7 4.86547e-05
0.42 4.75 5.8008e-05
0.42 4.8 4.40353e-05
0.42 4.85 4.19901e-05
0.42 4.9 4.78008e-05
0.42 4.95 4.47174e-05
0.42 5 4.19987e-05
0.425 0 0.000101877
0.425 0.05 0.000107845
0.425 0.1 0.000116573
0.425 0.15 0.000122795
0.425 0.2 0.000136352
0.425 0.25 0.00014466
0.425 0.3 0.00016117
0.425 0.35 0.000176054
0.425 0.4 0.00019567
0.425 0.45 0.000219327
0.425 0.5 0.000244738
0.425 0.55 0.000282172
0.425 0.6 0.000318875
0.425 0.65 0.000383254
0.425 0.7 0.000477017
0.425 0.75 0.000619501
0.425 0.8 0.000824001
0.425 0.85 0.00116005
0.425 0.9 0.00165412
0.425 0.95 0.00211343
0.425 1 0.0024255
0.425 1.05 0.00266913
0.425 1.1 0.00278221
0.425 1.15 0.00288731
0.425 1.2 0.0030307
0.425 1.25 0.00305882
0.425 1.3 0.00309989
0.425 1.35 0.00320756
0.425 1.4 0.00319997
0.425 1.45 0.00338894
0.425 1.5 0.00331797
0.425 1.55 0.00353445
0.425 1.6 0.00356351
0.425 1.65 0.00371812
0.425 1.7 0.00371787
0.425 1.75 0.0039242
0.425 1.8 0.00411969
0.425 1.85 0.00429777
0.425 1.9 0.00436973
0.425 1.95 0.00453972
0.425 2 0.00500607
0.425 2.05 0.00485994
0.425 2.1 0.00548598
0.425 2.15 0.00577201
0.425 2.2 0.00646993
0.425 2.25 0.00673138
0.425 2.3 0.00784802
0.425 2.35 0.00877989
0.425 2.4 0.00985798
0.425 2.45 0.0106393
0.425 2.5 0.00859495
0.425 2.55 0.00552127
0.425 2.6 0.00307541
0.425 2.65 0.00258939
0.425 2.7 0.00177709
0.425 2.75 0.00113148
0.425 2.8 0.00103506
0.425 2.85 0.000149892
0.425 2.9 0.000623191
0.425 2.95 0.000336503
0.425 3 0.000148853
0.425 3.05 0.00126003
0.425 3.1 0.000693943
0.425 3.15 0.000172273
0.425 3.2 0.000566563
0.425 3.25 0.000190486
0.425 3.3 0.000230061
0.425 3.35 0.000342846
0.425 3.4 0.000698093
0.425 3.45 0.000491121
0.425 3.5 0.000559756
0.425 3.55 0.00126748
0.425 3.6 0.000413067
0.425 3.65 1.86683e-05
0.425 3.7 0.000357811
0.425 3.75 0.00109095
0.425 3.8 0.000119383
0.425 3.85 0.000207856
0.425 3.9 2.66666e-05
0.425 3.95 0.000129251
0.425 4 6.12428e-05
0.425 4.05 3.3044e-05
0.425 4.1 9.96306e-05
0.425 4.15 7.93293e-05
0.425 4.2 7.42347e-05
0.425 4.25 7.31601e-05
0.425 4.3 6.65983e-05
0.425 4.35 6.92459e-05
0.425 4.4 6.68731e-05
0.425 4.45 6.65355e-05
0.425 4.5 6.92761e-05
0.425 4.55 6.32766e-05
0.425 4.6 5.73444e-05
0.425 4.65 6.22259e-05
0.425 4.7 4.97915e-05
0.425 4.75 5.63353e-05
0.425 4.8 4.63684e-05
0.425 4.85 4.4815e-05
0.425 4.9 5.37823e-05
0.425 4.95 3.86108e-05
0.425 5 4.84673e-05
0.43 0 8.87035e-05
0.43 0.05 9.78532e-05
0.43 0.1 0.000109547
0.43 0.15 0.000120619
0.43 0.2 0.000132686
0.43 0.25 0.00014526
0.43 0.3 0.000159889
0.43 0.35 0.000176709
0.43 0.4 0.000196138
0.43 0.45 0.000221063
0.43 0.5 0.00024796
0.43 0.55 0.000283932
0.43 0.6 0.000324957
0.43 0.65 0.000390915
0.43 0.7 0.000491981
0.43 0.75 0.000644154
0.43 0.8 0.000864517
0.43 0.85 0.00122982
0.43 0.9 0.00172965
0.43 0.95 0.00215294
0.43 1 0.00244519
0.43 1.05 0.00265982
0.43 1.1 0.00276182
0.43 1.15 0.00285435
0.43 1.2 0.0030175
0.43 1.25 0.00302242
0.43 1.3 0.0030592
0.43 1.35 0.00317098
0.43 1.4 0.00316006
0.43 1.45 0.00333675
0.43 1.5 0.00326889
0.43 1.55 0.00348609
0.43 1.6 0.00351116
0.43 1.65 0.00364257
0.43 1.7 0.00366822
0.43 1.75 0.00384395
0.43 1.8 0.00401835
0.43 1.85 0.00416925
0.43 1.9 0.00424311
0.43 1.95 0.00443819
0.43 2 0.00480943
0.43 2.05 0.00473036
0.43 2.1 0.00524858
0.43 2.15 0.00549631
0.43 2.2 0.00618162
0.43 2.25 0.00649056
0.43 2.3 0.00752922
0.43 2.35 0.00811634
0.43 2.4 0.00922732
0.43 2.45 0.0106075
0.43 2.5 0.0101181
0.43 2.55 0.00699467
0.43 2.6 0.00409945
0.43 2.65 0.00303849
0.43 2.7 0.00221832
0.43 2.75 0.00129486
0.43 2.8 0.00109604
0.43 2.85 0.000294639
0.43 2.9 0.00079689
0.43 2.95 0.000379967
0.43 3 0.000145634
0.43 3.05 0.00128562
0.43 3.1 0.000736627
0.43 3.15 0.000203227
0.43 3.2 0.000524318
0.43 3.25 0.000139467
0.43 3.3 0.000201367
0.43 3.35 0.00035309
0.43 3.4 0.000650384
0.43 3.45 0.000481085
0.43 3.5 0.0005633
0.43 3.55 0.00129905
0.43 3.6 0.000399957
0.43 3.65 4.00918e-05
0.43 3.7 0.000421583
0.43 3.75 0.00111383
0.43 3.8 0.000146439
0.43 3.85 0.00017359
0.43 3.9 7.4172e-05
0.43 3.95 0.000114273
0.43 4 5.98655e-05
0.43 4.05 4.07784e-05
0.43 4.1 0.000106739
0.43 4.15 8.35608e-05
0.43 4.2 7.91926e-05
0.43 4.25 7.65444e-05
0.43 4.3 6.81766e-05
0.43 4.35 6.5849e-05
0.43 4.4 7.17519e-05
0.43 4.45 7.06537e-05
0.43 4.5 7.24284e-05
0.43 4.55 6.58526e-05
0.43 4.6 5.53164e-05
0.43 4.65 5.8799e-05
0.43 4.7 4.80951e-05
0.43 4.75 5.41147e-05
0.43 4.8 5.04641e-05
0.43 4.85 5.14949e-05
0.43 4.9 4.90604e-05
0.43 4.95 4.03891e-05
0.43 5 5.48075e-05
0.435 0 9.6323e-05
0.435 0.05 0.00010421
0.435 0.1 0.000112151
0.435 0.15 0.00012458
0.435 0.2 0.000132537
0.435 0.25 0.000148713
0.435 0.3 0.000160571
0.435 0.35 0.000178935
0.435 0.4 0.00019843
0.435 0.45 0.000220661
0.435 0.5 0.000253371
0.435 0.55 0.000287969
0.435 0.6 0.000341323
0.435 0.65 0.000404859
0.435 0.7 0.000510295
0.435 0.75 0.000663632
0.435 0.8 0.000911064
0.435 0.85 0.00130462
0.435 0.9 0.00180019
0.435 0.95 0.00218219
0.435 1 0.00244503
0.435 1.05 0.00264099
0.435 1.1 0.00274812
0.435 1.15 0.00279161
0.435 1.2 0.00300637
0.435 1.25 0.00299638
0.435 1.3 0.00301862
0.435 1.35 0.00313467
0.435 1.4 0.00312758
0.435 1.45 0.00327704
0.435 1.5 0.00322401
0.435 1.55 0.00343504
0.435 1.6 0.00345329
0.435 1.65 0.00358601
0.435 1.7 0.00361602
0.435 1.75 0.00378113
0.435 1.8 0.00391429
0.435 1.85 0.00406446
0.435 1.9 0.00410437
0.435 1.95 0.00432042
0.435 2 0.00464625
0.435 2.05 0.00462086
0.435 2.1 0.00503432
0.435 2.15 0.00525541
0.435 2.2 0.00588564
0.435 2.25 0.0062194
0.435 2.3 0.00718431
0.435 2.35 0.0075235
0.435 2.4 0.00869458
0.435 2.45 0.010081
0.435 2.5 0.0108921
0.435 2.55 0.00861398
0.435 2.6 0.00533832
0.435 2.65 0.00367073
0.435 2.7 0.00269393
0.435 2.75 0.00149253
0.435 2.8 0.00122652
0.435 2.85 0.000493632
0.435 2.9 0.000907312
0.435 2.95 0.000586835
0.435 3 0.000273602
0.435 3.05 0.00129721
0.435 3.1 0.000745216
0.435 3.15 0.000203488
0.435 3.2 0.000456854
0.435 3.25 5.97696e-05
0.435 3.3 0.000180305
0.435 3.35 0.000306391
0.435 3.4 0.000561376
0.435 3.45 0.000452292
0.435 3.5 0.000524967
0.435 3.55 0.00132211
0.435 3.6 0.000372606
0.435 3.65 2.38439e-05
0.435 3.7 0.000474068
0.435 3.75 0.00113703
0.435 3.8 0.000153129
0.435 3.85 0.000129101
0.435 3.9 0.000115464
0.435 3.95 9.12713e-05
0.435 4 4.86145e-05
0.435 4.05 3.73228e-05
0.435 4.1 0.000108769
0.435 4.15 8.30708e-05
0.435 4.2 8.09997e-05
0.435 4.25 8.37659e-05
0.435 4.3 7.72217e-05
0.435 4.35 6.81641e-05
0.435 4.4 7.83075e-05
0.435 4.45 6.86844e-05
0.435 4.5 6.82863e-05
0.435 4.55 6.9513e-05
0.435 4.6 5.25062e-05
0.435 4.65 5.47612e-05
0.435 4.7 4.57164e-05
0.435 4.75 5.68066e-05
0.435 4.8 6.06071e-05
0.435 4.85 5.86696e-05
0.435 4.9 4.61005e-05
0.435 4.95 4.32119e-05
0.435 5 4.94138e-05
0.44 0 0.000110882
0.44 0.05 0.000115695
0.44 0.1 0.00012075
0.44 0.15 0.000128467
0.44 0.2 0.00013814
0.44 0.25 0.000150451
0.44 0.3 0.000164582
0.44 0.35 0.000181572
0.44 0.4 0.00020149
0.44 0.45 0.000224567
0.44 0.5 0.000256656
0.44 0.55 0.000295105
0.44 0.6 0.000349226
0.44 0.65 0.000419986
0.44 0.7 0.000528787
0.44 0.75 0.000693094
0.44 0.8 0.000963475
0.44 0.85 0.00138465
0.44 0.9 0.0018674
0.44 0.95 0.00221381
0.44 1 0.00244316
0.44 1.05 0.00263834
0.44 1.1 0.00272441
0.44 1.15 0.00276144
0.44 1.2 0.00297265
0.44 1.25 0.00296413
0.44 1.3 0.002996
0.44 1.35 0.00309656
0.44 1.4 0.00309463
0.44 1.45 0.0032296
0.44 1.5 0.00317999
0.44 1.55 0.00339464
0.44 1.6 0.00341184
0.44 1.65 0.00354747
0.44 1.7 0.00355969
0.44 1.75 0.00370186
0.44 1.8 0.00382891
0.44 1.85 0.00397403
0.44 1.9 0.00398617
0.44 1.95 0.00420189
0.44 2 0.00453203
0.44 2.05 0.00453943
0.44 2.1 0.00486434
0.44 2.15 0.00508534
0.44 2.2 0.00562351
0.44 2.25 0.00592299
0.44 2.3 0.00682563
0.44 2.35 0.00700196
0.44 2.4 0.00821771
0.44 2.45 0.00945931
0.44 2.5 0.0108641
0.44 2.55 0.0100034
0.44 2.6 0.00679641
0.44 2.65 0.00449133
0.44 2.7 0.00317537
0.44 2.75 0.00179365
0.44 2.8 0.00145733
0.44 2.85 0.000679471
0.44 2.9 0.000994638
0.44 2.95 0.000728103
0.44 3 0.000440176
0.44 3.05 0.00130657
0.44 3.1 0.000751825
0.44 3.15 0.000196681
0.44 3.2 0.000418836
0.44 3.25 6.4158e-06
0.44 3.3 0.000171757
0.44 3.35 0.000233165
0.44 3.4 0.000506304
0.44 3.45 0.00044152
0.44 3.5 0.000519552
0.44 3.55 0.00130898
0.44 3.6 0.000349123
0.44 3.65 1.04772e-05
0.44 3.7 0.00049732
0.44 3.75 0.00116294
0.44 3.8 0.000158283
0.44 3.85 9.69409e-05
0.44 3.9 0.000113852
0.44 3.95 7.62816e-05
0.44 4 4.28222e-05
0.44 4.05 3.61711e-05
0.44 4.1 0.000106621
0.44 4.15 8.28929e-05
0.44 4.2 8.359e-05
0.44 4.25 8.50698e-05
0.44 4.3 8.59097e-05
0.44 4.35 7.28919e-05
0.44 4.4 7.74282e-05
0.44 4.45 6.48376e-05
0.44 4.5 6.4792e-05
0.44 4.55 7.20457e-05
0.44 4.6 5.49227e-05
0.44 4.65 5.84838e-05
0.44 4.7 4.83292e-05
0.44 4.75 6.14592e-05
0.44 4.8 7.13316e-05
0.44 4.85 5.99887e-05
0.44 4.9 5.21631e-05
0.44 4.95 4.00609e-05
0.44 5 4.10238e-05
0.445 0 0.000104777
0.445 0.05 0.000111001
0.445 0.1 0.000119948
0.445 0.15 0.000126421
0.445 0.2 0.000140498
0.445 0.25 0.000149608
0.445 0.3 0.00016697
0.445 0.35 0.00018312
0.445 0.4 0.000203812
0.445 0.45 0.000231229
0.445 0.5 0.000259207
0.445 0.55 0.000301881
0.445 0.6 0.000349322
0.445 0.65 0.000431723
0.445 0.7 0.000547821
0.445 0.75 0.000739033
0.445 0.8 0.00102384
0.445 0.85 0.00147229
0.445 0.9 0.00193255
0.445 0.95 0.00225258
0.445 1 0.00245421
0.445 1.05 0.00264566
0.445 1.1 0.00269303
0.445 1.15 0.0027741
0.445 1.2 0.00293187
0.445 1.25 0.0029263
0.445 1.3 0.00297865
0.445 1.35 0.00306095
0.445 1.4 0.00305899
0.445 1.45 0.00319948
0.445 1.5 0.00314517
0.445 1.55 0.00336252
0.445 1.6 0.00338775
0.445 1.65 0.00349241
0.445 1.7 0.00351477
0.445 1.75 0.00360686
0.445 1.8 0.00376575
0.445 1.85 0.00389839
0.445 1.9 0.00390038
0.445 1.95 0.00412446
0.445 2 0.00441691
0.445 2.05 0.00446838
0.445 2.1 0.00472136
0.445 2.15 0.00495622
0.445 2.2 0.00542967
0.445 2.25 0.00568926
0.445 2.3 0.00643664
0.445 2.35 0.00656309
0.445 2.4 0.00771842
0.445 2.45 0.00889079
0.445 2.5 0.010431
0.445 2.55 0.0108146
0.445 2.6 0.00839906
0.445 2.65 0.00555591
0.445 2.7 0.00378711
0.445 2.75 0.00217407
0.445 2.8 0.00169094
0.445 2.85 0.000820163
0.445 2.9 0.00115946
0.445 2.95 0.000712756
0.445 3 0.000515713
0.445 3.05 0.00132805
0.445 3.1 0.000797777
0.445 3.15 0.000211288
0.445 3.2 0.000415836
0.445 3.25 5.46802e-05
0.445 3.3 0.000163307
0.445 3.35 0.000196542
0.445 3.4 0.000491616
0.445 3.45 0.000449049
0.445 3.5 0.000548458
0.445 3.55 0.00126573
0.445 3.6 0.000329956
0.445 3.65 2.40736e-06
0.445 3.7 0.000497172
0.445 3.75 0.00118369
0.445 3.8 0.000174715
0.445 3.85 7.18471e-05
0.445 3.9 0.000123861
0.445 3.95 7.30085e-05
0.445 4 4.507e-05
0.445 4.05 4.91648e-05
0.445 4.1 0.000107613
0.445 4.15 8.74486e-05
0.445 4.2 8.87771e-05
0.445 4.25 8.05539e-05
0.445 4.3 8.4374e-05
0.445 4.35 7.32716e-05
0.445 4.4 7.01231e-05
0.445 4.45 6.53341e-05
0.445 4.5 6.75784e-05
0.445 4.55 7.3023e-05
0.445 4.6 5.96162e-05
0.445 4.65 6.50496e-05
0.445 4.7 5.60764e-05
0.445 4.75 6.18098e-05
0.445 4.8 7.46113e-05
0.445 4.85 5.68871e-05
0.445 4.9 5.63995e-05
0.445 4.95 3.80293e-05
0.445 5 4.37242e-05
0.45 0 9.1459e-05
0.45 0.05 0.00010102
0.45 0.1 0.000113142
0.45 0.15 0.000124544
0.45 0.2 0.000137309
0.45 0.25 0.000150683
0.45 0.3 0.000166373
0.45 0.35 0.000184707
0.45 0.4 0.000206325
0.45 0.45 0.000234468
0.45 0.5 0.00026505
0.45 0.55 0.000307709
0.45 0.6 0.000360034
0.45 0.65 0.000445006
0.45 0.7 0.00057239
0.45 0.75 0.000789238
0.45 0.8 0.00109507
0.45 0.85 0.00156643
0.45 0.9 0.00199131
0.45 0.95 0.00228626
0.45 1 0.00246479
0.45 1.05 0.00263563
0.45 1.1 0.00266962
0.45 1.15 0.00276777
0.45 1.2 0.00291375
0.45 1.25 0.00290125
0.45 1.3 0.00294437
0.45 1.35 0.0030272
0.45 1.4 0.00302858
0.45 1.45 0.00316898
0.45 1.5 0.00311346
0.45 1.55 0.00332152
0.45 1.6 0.0033604
0.45 1.65 0.00341
0.45 1.7 0.00348452
0.45 1.75 0.00353083
0.45 1.8 0.00369334
0.45 1.85 0.00384117
0.45 1.9 0.00382911
0.45 1.95 0.00408048
0.45 2 0.00427679
0.45 2.05 0.00439045
0.45 2.1 0.00457411
0.45 2.15 0.00481955
0.45 2.2 0.00525864
0.45 2.25 0.0055403
0.45 2.3 0.00602111
0.45 2.35 0.00620682
0.45 2.4 0.0072392
0.45 2.45 0.00831955
0.45 2.5 0.00998265
0.45 2.55 0.0109313
0.45 2.6 0.00976322
0.45 2.65 0.00692216
0.45 2.7 0.00462049
0.45 2.75 0.00257764
0.45 2.8 0.00187434
0.45 2.85 0.00100251
0.45 2.9 0.00137082
0.45 2.95 0.000738894
0.45 3 0.000567244
0.45 3.05 0.00135549
0.45 3.1 0.000876739
0.45 3.15 0.000232163
0.45 3.2 0.000415298
0.45 3.25 0.000130874
0.45 3.3 0.000135771
0.45 3.35 0.000192014
0.45 3.4 0.000451407
0.45 3.45 0.00044004
0.45 3.5 0.000534186
0.45 3.55 0.0012169
0.45 3.6 0.000292695
0.45 3.65 5.75575e-05
0.45 3.7 0.000494227
0.45 3.75 0.0011959
0.45 3.8 0.000179726
0.45 3.85 3.71183e-05
0.45 3.9 0.000182143
0.45 3.95 6.17355e-05
0.45 4 4.2119e-05
0.45 4.05 6.4701e-05
0.45 4.1 0.000112473
0.45 4.15 9.26285e-05
0.45 4.2 9.37196e-05
0.45 4.25 8.10248e-05
0.45 4.3 7.81551e-05
0.45 4.35 7.02799e-05
0.45 4.4 6.58233e-05
0.45 4.45 7.16574e-05
0.45 4.5 7.23623e-05
0.45 4.55 7.37779e-05
0.45 4.6 6.06508e-05
0.45 4.65 6.55222e-05
0.45 4.7 6.25934e-05
0.45 4.75 6.01373e-05
0.45 4.8 7.16066e-05
0.45 4.85 5.82887e-05
0.45 4.9 5.24597e-05
0.45 4.95 4.64902e-05
0.45 5 5.22188e-05
0.455 0 9.89378e-05
0.455 0.05 0.000107368
0.455 0.1 0.000115881
0.455 0.15 0.000128847
0.455 0.2 0.000137628
0.455 0.25 0.000154644
0.455 0.3 0.000167857
0.455 0.35 0.000187891
0.455 0.4 0.000209785
0.455 0.45 0.000235609
0.455 0.5 0.000272423
0.455 0.55 0.00031532
0.455 0.6 0.000381585
0.455 0.65 0.000467034
0.455 0.7 0.00060608
0.455 0.75 0.000834346
0.455 0.8 0.00117697
0.455 0.85 0.00166071
0.455 0.9 0.00204095
0.455 0.95 0.00230577
0.455 1 0.0024625
0.455 1.05 0.0026103
0.455 1.1 0.00265404
0.455 1.15 0.00272618
0.455 1.2 0.00290944
0.455 1.25 0.00289482
0.455 1.3 0.00290495
0.455 1.35 0.00298894
0.455 1.4 0.00300534
0.455 1.45 0.0031293
0.455 1.5 0.00306632
0.455 1.55 0.00326832
0.455 1.6 0.00332833
0.455 1.65 0.0033308
0.455 1.7 0.00344991
0.455 1.75 0.00347764
0.455 1.8 0.00359889
0.455 1.85 0.003788
0.455 1.9 0.00376091
0.455 1.95 0.00402509
0.455 2 0.00415757
0.455 2.05 0.00431211
0.455 2.1 0.0044276
0.455 2.15 0.00467977
0.455 2.2 0.00505955
0.455 2.25 0.0053886
0.455 2.3 0.0056426
0.455 2.35 0.00590803
0.455 2.4 0.00685562
0.455 2.45 0.00774339
0.455 2.5 0.00958206
0.455 2.55 0.0105119
0.455 2.6 0.0104674
0.455 2.65 0.00852305
0.455 2.7 0.00559085
0.455 2.75 0.00304685
0.455 2.8 0.00211381
0.455 2.85 0.00130848
0.455 2.9 0.00152599
0.455 2.95 0.000919229
0.455 3 0.000724266
0.455 3.05 0.00136994
0.455 3.1 0.000954147
0.455 3.15 0.000247876
0.455 3.2 0.000419839
0.455 3.25 0.000244932
0.455 3.3 8.92137e-05
0.455 3.35 0.000169452
0.455 3.4 0.000369999
0.455 3.45 0.000413803
0.455 3.5 0.000458319
0.455 3.55 0.00116273
0.455 3.6 0.000245649
0.455 3.65 0.000116726
0.455 3.7 0.000493665
0.455 3.75 0.00120395
0.455 3.8 0.00016121
0.455 3.85 1.16252e-05
0.455 3.9 0.000231109
0.455 3.95 2.7604e-05
0.455 4 3.16318e-05
0.455 4.05 6.76953e-05
0.455 4.1 0.000115314
0.455 4.15 9.36957e-05
0.455 4.2 9.61895e-05
0.455 4.25 8.94222e-05
0.455 4.3 8.0493e-05
0.455 4.35 7.13252e-05
0.455 4.4 6.81459e-05
0.455 4.45 7.95669e-05
0.455 4.5 7.34183e-05
0.455 4.55 7.4812e-05
0.455 4.6 5.96639e-05
0.455 4.65 6.08391e-05
0.455 4.7 6.40173e-05
0.455 4.75 6.30328e-05
0.455 4.8 6.9896e-05
0.455 4.85 6.68493e-05
0.455 4.9 5.14361e-05
0.455 4.95 5.91851e-05
0.455 5 5.24938e-05
0.46 0 0.000114178
0.46 0.05 0.000119482
0.46 0.1 0.000125011
0.46 0.15 0.000133374
0.46 0.2 0.000143884
0.46 0.25 0.000157089
0.46 0.3 0.00017286
0.46 0.35 0.00019167
0.46 0.4 0.000213202
0.46 0.45 0.000240644
0.46 0.5 0.000277291
0.46 0.55 0.000325013
0.46 0.6 0.000396226
0.46 0.65 0.00049535
0.46 0.7 0.000646305
0.46 0.75 0.000885282
0.46 0.8 0.00126604
0.46 0.85 0.00174822
0.46 0.9 0.00208484
0.46 0.95 0.00231993
0.46 1 0.00246132
0.46 1.05 0.0025957
0.46 1.1 0.00263557
0.46 1.15 0.00270715
0.46 1.2 0.00288683
0.46 1.25 0.00289126
0.46 1.3 0.0028861
0.46 1.35 0.00295142
0.46 1.4 0.00297711
0.46 1.45 0.00309196
0.46 1.5 0.00300708
0.46 1.55 0.00321572
0.46 1.6 0.00330954
0.46 1.65 0.00327487
0.46 1.7 0.00340029
0.46 1.75 0.0034127
0.46 1.8 0.00351178
0.46 1.85 0.00372169
0.46 1.9 0.00370466
0.46 1.95 0.0039564
0.46 2 0.00408887
0.46 2.05 0.00424288
0.46 2.1 0.0043131
0.46 2.15 0.00456396
0.46 2.2 0.0048711
0.46 2.25 0.00517704
0.46 2.3 0.00536757
0.46 2.35 0.00564364
0.46 2.4 0.00653747
0.46 2.45 0.00727918
0.46 2.5 0.00913515
0.46 2.55 0.00986859
0.46 2.6 0.0105059
0.46 2.65 0.010102
0.46 2.7 0.00660749
0.46 2.75 0.00370897
0.46 2.8 0.00254647
0.46 2.85 0.00170649
0.46 2.9 0.00165479
0.46 2.95 0.00109327
0.46 3 0.000926982
0.46 3.05 0.00137956
0.46 3.1 0.00101911
0.46 3.15 0.000284654
0.46 3.2 0.000464743
0.46 3.25 0.000345474
0.46 3.3 4.32996e-05
0.46 3.35 0.000130236
0.46 3.4 0.000320929
0.46 3.45 0.00040869
0.46 3.5 0.000398143
0.46 3.55 0.00109002
0.46 3.6 0.000225941
0.46 3.65 0.000141877
0.46 3.7 0.000481887
0.46 3.75 0.00120782
0.46 3.8 0.000153127
0.46 3.85 2.65426e-05
0.46 3.9 0.000228746
0.46 3.95 1.0903e-05
0.46 4 3.10404e-05
0.46 4.05 6.61944e-05
0.46 4.1 0.000115397
0.46 4.15 9.38215e-05
0.46 4.2 9.81648e-05
0.46 4.25 9.55544e-05
0.46 4.3 8.98148e-05
0.46 4.35 7.84427e-05
0.46 4.4 7.09607e-05
0.46 4.45 8.37805e-05
0.46 4.5 7.31591e-05
0.46 4.55 7.55421e-05
0.46 4.6 6.21707e-05
0.46 4.65 5.83271e-05
0.46 4.7 6.33442e-05
0.46 4.75 6.83853e-05
0.46 4.8 7.13064e-05
0.46 4.85 7.38339e-05
0.46 4.9 6.02082e-05
0.46 4.95 6.25738e-05
0.46 5 4.74414e-05
0.465 0 0.000108805
0.465 0.05 0.000115468
0.465 0.1 0.000124858
0.465 0.15 0.000132019
0.465 0.2 0.000146993
0.465 0.25 0.000157032
0.465 0.3 0.000176264
0.465 0.35 0.000194529
0.465 0.4 0.000216736
0.465 0.45 0.000248698
0.465 0.5 0.00028188
0.465 0.55 0.000335196
0.465 0.6 0.0004035
0.465 0.65 0.000522174
0.465 0.7 0.000689108
0.465 0.75 0.000956993
0.465 0.8 0.00136072
0.465 0.85 0.00182588
0.465 0.9 0.00212686
0.465 0.95 0.00233893
0.465 1 0.00247552
0.465 1.05 0.00259233
0.465 1.1 0.00261912
0.465 1.15 0.00272965
